aspect,description,sentiment
ward,straight,0.2
boy,anna,0.0
community,toxic,0.0
match,last,0.0
balancing,incentivize,0.0
map,linear,0.0
body,highly balanced,0.16
hardware,miss,0.0
fight,ridiculous,-0.3333333333333333
span,adapt,0.0
people,ill,-0.5
duckwalk,instal,0.0
campaign,cool,0.35
chance,willing,0.25
conscience,good,0.7
thing,visual,0.0
mission,many,0.5
enemy,snap,0.0
confuse,ill,-0.5
match,big,0.0
nightmare,sided,0.0
team,essentially constant,0.0
field,many,0.5
war,small,-0.25
numberswise,sure,0.5
hope,online,0.0
none,well,0.0
battle,lucky,0.3333333333333333
end,little,-0.1875
people,good,0.7
people,negative,-0.3
friend,itchy,0.0
thing,emotional,0.0
cod,solid,0.0
light,late,-0.3
spend,random,-0.5
gaze,impossible,-0.6666666666666666
gun,good,0.7
couple,basically unplayable,-0.4
ass,fucking,-0.6
player,middle,0.0
community,second,0.0
enemy,late,-0.3
bag,blue,0.0
stuff,original,0.375
player,original,0.375
story,plausible,0.5
day,pretty fun,0.275
launch,worth,0.3
review,infinite,0.0
people,slant,0.0
trueaim,strong,0.4333333333333333
vote,negative,-0.3
desire,good,0.7
optimization,overall,0.0
inability,entire,0.0
activision,new,0.13636363636363635
people,many,0.5
player,own,0.6
corner,dead,-0.2
aim,hard,-0.2916666666666667
player,bad,-0.6999999999999998
try,dead,-0.2
list,errorsempty,0.0
people,angry,-0.5
reason,great,0.8
release,bad,-0.6999999999999998
cod,long dead,-0.125
load,amazing,0.6000000000000001
fuck,little,-0.1875
supper,armed,0.0
storm,little,-0.1875
daytime,bare,0.05
ass,little,-0.1875
comment,fucking,-0.6
love,terrible,-1.0
comment,decent,0.16666666666666666
cord,good,0.7
line,terribly slow,-0.30000000000000004
gimmick,also terrible,-1.0
veteran,armed,0.0
camp,instead full,0.35
singer,entire,0.0
mechanic,funny,0.25
rifle,nonsensical,0.0
singer,ready,0.2
spasm,full,0.35
thing,short,0.0
favor,good,0.7
match,first,0.25
mission,also really fun,0.3
progress,well,0.0
manage,enjoyable,0.5
example,classic,0.16666666666666666
player,full,0.35
multiplayer,much,0.2
drop,total,0.0
match,big,0.0
wish,own,0.6
cause,ill,-0.5
people,many,0.5
farmer,useful,0.3
mission,good,0.7
review,next,0.0
mutiplayer,bad,-0.6999999999999998
review,complete,0.1
customization,interesting,0.5
rifle,useless,-0.5
hatred,absolute,0.2
start,bad,-0.6999999999999998
person,exact,0.25
frustration,fine,0.4166666666666667
think,cold,-0.6
multiplayer,cool,0.35
hate,worth,0.3
customer,seriously random,-0.5
game,new,0.13636363636363635
level,last,0.0
price,final,0.0
franchise,literal,0.0
leave,bad,-0.6999999999999998
title,slightly slow,-0.30000000000000004
bag,far good,0.39999999999999997
franchise,weird,-0.5
game,current,0.0
memory,swiftly navigable,0.0
kind,strange,-0.05
campaign,third,0.0
shoot,big,0.0
match,lucky,0.3333333333333333
horizon,nuclear,0.0
game,normal,0.15
player,entire,0.0
launch,bad,-0.6999999999999998
multiplayer,normal,0.15
pfuel,adderall,0.0
launch,whole,0.2
counter,first,0.25
backpack,constable,0.0
choice,enjoyable,0.5
mess,hot,0.25
communication,close,0.0
lot,unnecessary,-0.4
file,corrupt,-0.5
game,incomplete,0.0
clash,full,0.35
agent,top,0.5
enemy,directly front,0.1
variety,stale,-0.5
change,lifeless,0.0
wonder,whole,0.2
promise,dead,-0.2
fire,flat,-0.025
skill,shorter,0.0
love,uninterrupted,0.0
give,bad,-0.6999999999999998
break,good,0.7
luck,good,0.7
progression,terrible,-1.0
brain,instal,0.0
library,infest,0.0
regret,new,0.13636363636363635
warfare,modern,0.2
weapon,balanced,0.0
venus,fat,0.0
country,old,0.1
child,expensive,-0.5
sweat,toxic,0.0
campaign,fantastic,0.4
thing,good,0.7
people,hang,0.0
force,different,0.0
wish,drunk,-0.5
hour,current,0.0
crash,single,-0.07142857142857142
gb,3080amd,0.0
issue,graphic,0.0
paste,beg,0.0
setting,lower,0.0
exploit,unlocked,0.0
graphic,full,0.35
friend,old,0.1
player,many,0.5
see,old,0.1
thing,obnoxious,0.0
end,due,-0.125
player,bad,-0.6999999999999998
crashgate,dull,-0.2916666666666667
developer,good,0.7
fun,mapswho,0.0
crash,bad,-0.6999999999999998
steam,great,0.8
player,hard,-0.2916666666666667
tap,unbearable,0.0
people,random,-0.5
thing,fixedadde,0.0
player,hussy,0.0
noise,painless,0.0
bullshit,new,0.13636363636363635
problem,lazy,-0.25
animation,huge,0.4000000000000001
buy,relaxed,0.0
weight,bad,-0.6999999999999998
proximity,warne,0.0
owner,modern,0.2
feature,ironic,0.2
player,tactical,0.0
gun,new,0.13636363636363635
content,mature,0.1
op,also short,0.0
console,late,-0.3
gun,new,0.13636363636363635
pointer,small,-0.25
thing,new,0.13636363636363635
thing,previous,-0.16666666666666666
fun,previous,-0.16666666666666666
sentinel,beta,0.0
camp,full,0.35
king,side,0.0
action,many,0.5
gun,consist,0.0
singer,inconsistent,0.0
reason,practically worthless,-0.8
deadline,crippled,0.0
opinion,good,0.7
shit,bad,-0.6999999999999998
fas,great,0.8
story,immerse,0.0
change,reconcile,0.0
stuff,unfinished,0.0
bow,lastly different,0.0
issue,predictable,-0.2
hit,initial,0.0
issue,technical,0.0
crash,full,0.35
solution,multiple,0.0
campaign,miss,0.0
clash,single,-0.07142857142857142
customize,proper,0.0
thing,many,0.5
history,possibly bad,-0.6999999999999998
steam,ill,-0.5
bag,potential,0.0
fuck,stupid,-0.7999999999999999
ward,online,0.0
support,big,0.0
game,maybe bare,0.05
multiplayer,modern,0.2
op,modern,0.2
player,black,-0.16666666666666666
campaign,outside,0.0
stitch,terrible,-1.0
patch,worth,0.3
people,other,-0.125
player,much,0.2
thing,whole,0.2
thing,much,0.2
people,many,0.5
time,much less,-0.16666666666666666
content,somewhat lacking,0.0
option,many,0.5
op,lame,-0.5
love,second,0.0
partner,stupid,-0.7999999999999999
crash,constant,0.0
release,unjustifiable,0.0
gold,sad,-0.5
cord,bad,-0.6999999999999998
mode,incomplete,0.0
people,new,0.13636363636363635
gun,great,0.8
controller,weird,-0.5
protection,fun,0.3
enemy,low,0.0
tank,huge,0.4000000000000001
price,high,0.16
word,sad,-0.5
people,good,0.7
enemy,good,0.7
time,noticeable,0.0
person,mean,-0.3125
shit,really dumb,-0.375
butt,furry,0.0
campaign,amazing,0.6000000000000001
thing,constant,0.0
give,great,0.8
performance,bad,-0.6999999999999998
gun,bad,-0.6999999999999998
spread,terrible,-1.0
recoil,short,0.0
recoil,actual,0.0
reload,red,0.0
gun,unable,-0.5
part,nice,0.6
wall,millisecond,0.0
love,headshot,0.0
love,sure,0.5
guy,entire,0.0
drive,sudden,0.0
team,stealth,0.0
want,other,-0.125
prison,huge,0.4000000000000001
tease,quite disappointing,-0.6
campaign,real,0.2
code,weird,-0.5
gun,good,0.7
fan,much,0.2
ghost,reap,0.0
dog,balaclava,0.0
excitement,modern,0.2
implementation,actual,0.0
player,rational,0.0
ability,certain,0.21428571428571427
feature,beta,0.0
computer,decent,0.16666666666666666
stitch,graphic,0.0
boy,blind,-0.5
aim,far strong,0.26666666666666666
figure,wise,0.7
shit,magically gobelin,0.5
mention,entire,0.0
patch,recent,0.0
sub,good,0.7
moment,intentional,0.0
guy,open,0.0
production,pretty terrible,-0.375
fact,simple,0.0
garage,chronic,0.0
state,real,0.2
venus,mobile,0.0
road,later,0.0
drop,complete,0.1
gunplay,really good,0.7
map,last,0.0
wish,prepared,0.0
weapon,good,0.7
respawning,single,-0.07142857142857142
regret,upset,0.0
use,basic,0.0
update,relevant,0.4
cod,new,0.13636363636363635
cod,last,0.0
state,unplayable,-0.4
gameplay,pretty good,0.475
mode,token,0.0
people,direct,0.1
review,great,0.8
people,annoying,-0.8
people,sometimes flicker,0.0
thing,bad,-0.6999999999999998
crash,constant,0.0
mode,respective,0.0
release,long,-0.05
op,black,-0.16666666666666666
gun,stunning,0.5
struggle,modern,0.2
game,much,0.2
movement,mild,0.3333333333333333
map,bland,-0.16666666666666666
shade,terrible,-1.0
fuck,good,0.7
point,literally unplayable,-0.4
base,bad,-0.6999999999999998
agent,casual,-0.5000000000000001
franchise,much,0.2
multiplayer,able,0.5
ti,even high,0.16
interface,terrible,-1.0
multiplayer,chronic,0.0
bugshacker,minimal,-0.1
gun,many,0.5
shooting,good,0.7
fun,tedious,-0.5
mind,different,0.0
update,last,0.0
understand,special,0.35714285714285715
fas,different,0.0
piece,set,0.0
change,amazing,0.6000000000000001
scene,voluptuous,0.0
gb,crazy,-0.6
butcher,still quite fun,0.3
people,good,0.7
mission,big,0.0
system,pp,0.0
warfare,new,0.13636363636363635
match,different,0.0
community,far toxic,0.1
aim,literally legal,0.2
way,maybe good,0.7
player,first dead,0.024999999999999994
fan,good,0.7
retard,later,0.0
clash,new,0.13636363636363635
force,entire,0.0
people,long,-0.05
see,respectable,0.5
itchy,awesome,1.0
cap,unfinished,0.0
garage,much powerful,0.3
mode,several,0.0
menu,always buggy,0.0
attachment,bad,-0.6999999999999998
smile,entire,0.0
mode,select,0.0
lawsuit,little,-0.1875
gun,hard,-0.2916666666666667
review,damn good,0.7
optimism,low,0.0
feature,little,-0.1875
clash,due,-0.125
cross,hot,0.25
shot,many,0.5
switch,key,0.0
man,right,0.2857142857142857
husband,whole,0.2
multiplayer,amazing,0.6000000000000001
knee,good,0.7
life,enjoyable,0.5
antialeasing,good,0.7
warfare,different,0.0
update,free,0.4
match,hard decent,-0.06250000000000001
map,bad,-0.6999999999999998
money,extremely fun,0.3
consciousness,good,0.7
warne,new,0.13636363636363635
warne,next,0.0
fan,classic,0.16666666666666666
op,last,0.0
fun,miss,0.0
thing,fantastic,0.4
odyssey,curved,0.0
menu,effective,0.6
light,present,0.0
break,aware,0.25
comment,right aware,0.26785714285714285
multiplayer,right crazy,-0.15714285714285714
team,entire,0.0
people,lay,0.0
guy,see,0.0
brand,ready,0.2
partie,haste,0.0
issue,still insane,-1.0
cover,main,0.16666666666666666
describe,actual,0.0
gun,irrelevant,-0.5
focus,fancy,0.0
gun,small,-0.25
launch,second,0.0
gun,mid,0.0
place,creative,0.5
story,memorable,0.5
hope,next,0.0
downfall,good,0.7
choice,good,0.7
weekend,positive,0.22727272727272727
jump,middle,0.0
love,great,0.8
voice,old,0.1
disorder,high,0.16
multiply,previous,-0.16666666666666666
reason,red,0.0
people,fundamental,0.0
multiplayer,competitive,0.0
release,ready,0.2
jump,typical,-0.16666666666666666
blast,ready,0.2
war,large,0.21428571428571427
gun,really good,0.7
issue,sort solid,0.0
version,new,0.13636363636363635
reason,modern,0.2
sense,simple,0.0
step,bad,-0.6999999999999998
people,minimal,-0.1
moment,innocent,0.5
markov,complicated,-0.5
rank,complicated,-0.5
range,incredible,0.9
people,finally able,0.5
mother,good,0.7
reason,mastery,0.0
people,tedious,-0.5
seem,high,0.16
player,random,-0.5
skill,much,0.2
experience,casual,-0.5000000000000001
player,casual,-0.5000000000000001
chance,good,0.7
gun,good,0.7
update,recent,0.0
system,hurt,0.0
people,delete,0.0
cod,average,-0.15
activision,easy,0.43333333333333335
base,visual,0.0
fun,long,-0.05
fix,good,0.7
offer,excited,0.375
bag,due,-0.125
stop,fair,0.7
money,technical,0.0
format,different,0.0
people,least,-0.3
cluster,little,-0.1875
map,worth,0.3
campaign,particularly heavy,-0.2
campaign,bad,-0.6999999999999998
control,absent,0.0
lobby,racial,0.0
mode,compare,0.0
garage,worth,0.3
wish,last,0.0
recoil,really nice,0.6
gunplay,different,0.0
texture,constant,0.0
people,disabled,-0.2
part,alotscary,0.0
pus,fucking,-0.6
download,foreign,-0.125
aim,dead,-0.2
void,entire,0.0
friend,graphic,0.0
game,especially recent,0.0
duty,cherish,0.0
category,third,0.0
play,great,0.8
cod,stupid,-0.7999999999999999
patch,fun,0.3
use,much,0.2
garage,worth,0.3
u,open,0.0
spring,second,0.0
equipment,slow bad,-0.49999999999999994
multiplayer,fresh,0.3
mind,stale,-0.5
change,fresh,0.3
mistaken,really fun,0.3
detail,right,0.2857142857142857
gun,many,0.5
shit,middle,0.0
multiplayer,grindyshooty,0.0
soldier,marine,0.0
arena,square,0.0
pmb,civilian,0.0
container,far,0.1
come,live,0.13636363636363635
time,sick,-0.7142857142857143
battlefraud,new,0.13636363636363635
fuck,sick,-0.7142857142857143
issue,good,0.7
sense,old,0.1
control,good,0.7
gun,average,-0.15
developer,little,-0.1875
user,pro,0.0
assist,second,0.0
system,half,-0.16666666666666666
love,methodical,0.0
mode,third,0.0
rescue,counterstrike,0.0
computer,good,0.7
gun,enable,0.0
spike,crazy,-0.6
experience,triple,0.0
spike,constant,0.0
campaign,payable,0.0
gameplay,decent,0.16666666666666666
thing,early,0.1
battlefield,almost good,0.7
thing,massive,0.0
warfare,modern,0.2
campaign,great,0.8
ride,many,0.5
barrel,small,-0.25
clinch,attachment,0.0
rifle,round semiautomatic,-0.2
rifle,few,-0.2
gun,last,0.0
face,social,0.03333333333333333
way,sure,0.5
playlist,blue,0.0
require,worth,0.3
war,frozen,0.0
soldier,high,0.16
tank,exquisite,1.0
chest,bloated,0.0
fighter,small,-0.25
torture,sad,-0.5
man,german,0.0
hell,tremble,0.0
gentleman,fellow,0.0
slur,heavily mid,0.0
recoil,visual,0.0
aim,legal,0.2
fun,beg,0.0
cod,mild,0.3333333333333333
player,mild,0.3333333333333333
movement,slow,-0.30000000000000004
attachment,top,0.5
treyarch,good,0.7
series,bad,-0.6999999999999998
reason,clearly ready,0.2
design,awful,-1.0
controller,legal,0.2
expert,average,-0.15
story,original,0.375
plan,clear,0.10000000000000002
camp,loud,0.1
campaign,good,0.7
campaign,annoying,-0.8
hope,occasional,0.0
cod,casual,-0.5000000000000001
map,cool,0.35
optimization,complete,0.1
bit,good,0.7
update,solid,0.0
ghost,org,0.0
people,constant,0.0
disappointment,bad,-0.6999999999999998
cod,good,0.7
shot,hobby,0.0
promise,advanced,0.4
steam,apparently long,-0.05
thing,possible,0.0
purchase,last,0.0
release,triple,0.0
community,bad,-0.6999999999999998
idea,headglitche,0.0
camping,free,0.4
match,together blind,-0.5
developer,bad,-0.6999999999999998
lot,overall,0.0
people,old,0.1
ennui,bad,-0.6999999999999998
couple,next,0.0
clash,constant,0.0
corner,early,0.1
release,typical,-0.16666666666666666
warfare,modern,0.2
reload,mobile,0.0
p,good,0.7
sale,worth,0.3
start,old,0.1
player,graphic,0.0
lot,last,0.0
mix,enough close,0.0
player,single,-0.07142857142857142
bastard,fat,0.0
reason,black,-0.16666666666666666
singleplayer,much random,-0.5
crash,black,-0.16666666666666666
guy,bad,-0.6999999999999998
perform,amazing,0.6000000000000001
game,fine,0.4166666666666667
situation,new,0.13636363636363635
help,good,0.7
step,latter,0.0
campaign,long,-0.05
release,possible,0.0
multiplayer,great,0.8
swell,little otherwise perfect,0.40625
stitch,technical,0.0
crash,annoying,-0.8
game,fail,-0.5
mode,well previous,-0.16666666666666666
fun,worth,0.3
encounter,much,0.2
campaign,open,0.0
mix,really good,0.7
thing,also upscale,0.0
gunplay,nice,0.6
annoyance,pretty annoying,-0.275
people,bad,-0.6999999999999998
use,fine,0.4166666666666667
campaign,certain,0.21428571428571427
environment,hoaringcrouch,0.0
luck,good,0.7
thing,overall,0.0
earth,good,0.7
fix,middle,0.0
play,sure,0.5
movement,perfect,1.0
thing,great,0.8
team,classic,0.16666666666666666
recoil,visual,0.0
people,significantly easy,0.43333333333333335
minute,fourth,0.0
field,additional,0.0
test,complete,0.1
review,worth,0.3
player,front,0.0
orientation,nonsexual,0.0
crash,safe,0.5
version,right least,-0.007142857142857145
content,bad,-0.6999999999999998
singleplayer,short,0.0
wish,pro,0.0
gun,amazing,0.6000000000000001
make,real,0.2
design,overall,0.0
map,hydroelectric,0.0
show,real,0.2
cod,new,0.13636363636363635
thing,great,0.8
mission,lastly different,0.0
system,more,0.5
point,multiple,0.0
interact,unlocked,0.0
venus,bad,-0.6999999999999998
title,polished,0.0
mode,third,0.0
opinion,mid,0.0
fun,ill,-0.5
time,modern,0.2
game,bad,-0.6999999999999998
lot,perfect,1.0
opinion,new,0.13636363636363635
voice,online,0.0
crash,lucky,0.3333333333333333
device,keybindswestern,0.0
fix,better,0.5
battlepass,hard,-0.2916666666666667
shape,actually interesting,0.5
fun,constant,0.0
issue,really good,0.7
gun,recent,0.0
match,entire,0.0
bag,small,-0.25
enjoyment,least,-0.3
gun,plenty,0.0
vice,versa annoying,-0.8
gameplay,great,0.8
simulate,new,0.13636363636363635
fire,good,0.7
crash,even old,0.1
video,aware,0.25
cod,realistic,0.16666666666666666
banner,exact,0.25
friend,nice,0.6
soldier,golden,0.3
movement,dropshot,0.0
gun,far overwhelming,0.3
people,dead,-0.2
difficulty,top,0.5
issue,graphic,0.0
fact,great,0.8
launch,prior,0.0
markov,interesting,0.5
dog,greedy,0.0
row,still consistent,0.25
gun,great,0.8
cod,long,-0.05
figure,good,0.7
system,balanced,0.0
duty,modern,0.2
campaign,short,0.0
system,fine,0.4166666666666667
player,disabled,-0.2
player,however impossible,-0.6666666666666666
angle,slow,-0.30000000000000004
expansion,worth,0.3
reason,main,0.16666666666666666
feature,consistent,0.25
season,complete,0.1
system,odd,-0.16666666666666666
time,bad,-0.6999999999999998
people,common,-0.3
variety,certain,0.21428571428571427
line,mental,-0.1
launch,bad,-0.6999999999999998
dweller,full,0.35
cod,bad,-0.6999999999999998
multiplayer,small,-0.25
tune,fine,0.4166666666666667
work,great,0.8
franchise,baked,0.0
activision,fast,0.2
thing,great,0.8
body,short,0.0
act,vile,0.0
file,graphic,0.0
player,positive,0.22727272727272727
member,intense,0.2
hate,much,0.2
slam,social,0.03333333333333333
people,dark,-0.15
rage,usual,-0.25
developer,complete,0.1
campaign,unacceptable,0.0
story,nearly good,0.7
review,stable,0.0
multiplayer,great,0.8
cod,bad,-0.6999999999999998
campaign,minor,-0.05
twitch,good,0.7
thing,certain,0.21428571428571427
stuff,annoying,-0.8
lot,horrible,-1.0
crash,first,0.25
option,last,0.0
wish,tired,-0.4
discontent,low,0.0
month,even cold,-0.6
cheat,innocent,0.5
theater,correct,0.0
redeem,last,0.0
release,due,-0.125
play,good,0.7
update,new,0.13636363636363635
fact,good,0.7
impression,fantastic,0.4
thing,hopefully kind,0.6
address,currently stick,0.0
weapon,balanced,0.0
shit,definitely worth,0.3
map,good,0.7
criticism,great,0.8
window,able,0.5
twitch,first,0.25
toe,unarmed,0.0
achievement,collectorachievement,0.0
state,original,0.375
friend,full,0.35
fan,honest,0.6
update,frosty,0.0
map,pretty solid,0.125
gun,unique,0.375
understand,bad,-0.6999999999999998
love,potential,0.0
application,other,-0.125
minute,interrupt,0.0
intersperse,incredibly frequent,0.1
screen,graphic,0.0
watch,many,0.5
player,main,0.16666666666666666
player,dead,-0.2
review,good,0.7
kind,smooth,0.4
engraving,tactical,0.0
head,scorestreak,0.0
show,previous,-0.16666666666666666
name,many,0.5
gun,really nice,0.6
thing,new,0.13636363636363635
group,single,-0.07142857142857142
thing,pretty good,0.475
racism,old,0.1
steam,future,0.0
rope,single,-0.07142857142857142
mission,favorite,0.5
idea,good,0.7
multiplayer,important,0.4
gameplay,balanced,0.0
mode,false,-0.4000000000000001
fuck,good,0.7
generation,new,0.13636363636363635
point,stupid,-0.7999999999999999
fun,possible,0.0
controller,complete,0.1
snowballing,easy,0.43333333333333335
wall,difficult,-0.5
gun,last,0.0
weapon,shorter,0.0
suffering,middle,0.0
9700k,super,0.3333333333333333
performance,bad,-0.6999999999999998
mention,constant,0.0
team,good,0.7
match,unbearable,0.0
gameplay,old,0.1
campaign,original,0.375
story,original,0.375
tank,heavily armed,-0.2
duty,maybe even bad,-0.6999999999999998
remove,good,0.7
people,sure,0.5
player,normal,0.15
grab,next,0.0
team,perfectly fine,0.4166666666666667
fix,regular,0.0
singer,major,0.0625
price,full,0.35
change,free,0.4
audit,middle,0.0
pub,early,0.1
packer,literally unkillable,0.0
miss,actually terrible,-1.0
pitch,less annoying,-0.48333333333333334
county,much realistic,0.16666666666666666
county,right,0.2857142857142857
system,nice,0.6
man,many,0.5
company,big,0.0
company,tired,-0.4
leadership,new,0.13636363636363635
people,crazy,-0.6
shit,different,0.0
problem,good,0.7
thing,good,0.7
win,haired,0.0
multiplayer,bad,-0.6999999999999998
ply,modern,0.2
terrain,good,0.7
system,unbelievable,-0.25
thing,endless,-0.125
time,narrate,0.0
enemy,disgusting,-1.0
sound,graphic,0.0
word,ugly,-0.7
developer,complete,0.1
duty,short,0.0
series,new,0.13636363636363635
time,new,0.13636363636363635
state,many,0.5
u,pretty boring,-0.375
map,insanely good,0.7
player,average,-0.15
advertise,potential,0.0
content,significant,0.375
experience,abysmal,0.0
map,friendly,0.375
weapon,completely missing,-0.2
clash,consistently pp morethancapable,0.25
content,first,0.25
patch,ill,-0.5
op,unplayable,-0.4
fun,lose,0.0
match,boring,-1.0
bag,good,0.7
bonus,shatterline,0.0
fact,platino,0.0
ass,decent,0.16666666666666666
fact,good,0.7
gun,solid,0.0
people,new,0.13636363636363635
statement,long,-0.05
demand,bad,-0.6999999999999998
clash,almost unplayable,-0.4
play,many,0.5
aim,unique,0.375
story,previous,-0.16666666666666666
multiplayer,enjoyable,0.5
cod,different,0.0
reason,major,0.0625
driver,late,-0.3
game,able,0.5
cod,good,0.7
issue,main,0.16666666666666666
skill,quite stable,0.0
line,good,0.7
toxic,mute,0.0
draft,far amazing,0.35000000000000003
area,civilian,0.0
multiply,good,0.7
good,extremely slow,-0.30000000000000004
game,slow,-0.30000000000000004
level,damn red,0.0
people,slow,-0.30000000000000004
gun,way easy,0.43333333333333335
campaign,online,0.0
rate,ridiculous,-0.3333333333333333
flick,excellent,1.0
option,unituitive,0.0
mode,online,0.0
user,lower,0.0
people,first,0.25
baby,blind,-0.5
weapon,platino,0.0
character,else,0.0
weapon,fast,0.2
cause,itchy,0.0
player,black,-0.16666666666666666
update,long ill,-0.275
review,ill,-0.5
alpha,pre,0.0
multiplayer,certain,0.21428571428571427
crash,mad,-0.625
render,unplayable,-0.4
activision,useless,-0.5
freeze,possible,0.0
priority,high,0.16
ring,good,0.7
cord,damn much,0.2
butt,ill,-0.5
screen,long,-0.05
mission,great,0.8
reason,effectively double,0.0
use,much less,-0.16666666666666666
story,single,-0.07142857142857142
clash,large,0.21428571428571427
screen,black,-0.16666666666666666
lgbtq,least,-0.3
people,least,-0.3
aspect,distinct,0.3
sale,full,0.35
character,motive,0.0
break,little,-0.1875
gunplay,quite decent,0.16666666666666666
lot,polish,0.0
action,stealth,0.0
course,main,0.16666666666666666
name,magnificent,1.0
map,new,0.13636363636363635
peak,new,0.13636363636363635
grind,favourite,0.0
op,unlocked,0.0
system,pretty cool,0.3
term,mastery,0.0
weapon,new,0.13636363636363635
specie,good,0.7
think,overall,0.0
tag,worth,0.3
weapon,slow,-0.30000000000000004
battlefield,well,0.0
campaign,worth,0.3
love,amazing,0.6000000000000001
lot,single,-0.07142857142857142
gun,little,-0.1875
game,main,0.16666666666666666
game,stable,0.0
place,whole,0.2
monitor,black,-0.16666666666666666
row,right,0.2857142857142857
singer,hard,-0.2916666666666667
spot,kill,0.0
world,large,0.21428571428571427
shooting,good,0.7
pace,deliberate,0.0
fun,new,0.13636363636363635
jump,normal,0.15
gun,terrible,-1.0
camp,easy,0.43333333333333335
player,normal,0.15
melodycampaign,even short,0.0
steam,happy,0.8
survive,long,-0.05
turn,probably bad,-0.6999999999999998
lot,pretty average,0.05
bother,good,0.7
duty,satisfied,0.5
crash,single,-0.07142857142857142
guess,solid,0.0
campaign,close,0.0
core,mid,0.0
stuff,new,0.13636363636363635
hand,bad,-0.6999999999999998
level,less enjoyable,0.16666666666666669
load,constantly alone,0.0
graphic,rug,0.0
lot,new,0.13636363636363635
ass,prone,0.0
line,top,0.5
campaign,single,-0.07142857142857142
clash,occasional,0.0
title,litter,0.0
use,good,0.7
time,always crash,0.0
content,tired,-0.4
cord,last,0.0
game,unfortunately kind,0.6
campaign,great,0.8
weapon,new,0.13636363636363635
player,happy,0.8
kid,happy,0.8
opinion,original,0.375
review,equal,0.0
cap,stupid,-0.7999999999999999
market,short,0.0
thing,also far good,0.39999999999999997
player,need,0.0
weapon,fast,0.2
people,currently grind,0.0
reason,old,0.1
dew,actual,0.0
grind,complete,0.1
onion,bad,-0.6999999999999998
move,animate,0.0
people,late,-0.3
issue,second,0.0
character,select,0.0
activision,lazy,-0.25
ass,good,0.7
thing,still unfinished,0.0
friend,single,-0.07142857142857142
bugsnot,worth,0.3
day,okay,0.5
game,accessible,0.375
mean,short,0.0
seem,low,0.0
mission,long,-0.05
campaign,average,-0.15
plan,pretty,0.25
shipment,even bad,-0.6999999999999998
choice,truly awful,-1.0
people,navigable,0.0
map,quickly sour,-0.15000000000000002
wish,mixed,0.0
rush,short,0.0
grind,interested,0.25
stitch,multiple,0.0
time,poor,-0.4
singleplayer,short,0.0
game,past,-0.25
playlist,forgettable,-0.5
area,apparent,0.05
weapon,low,0.0
campaign,negative,-0.3
snipingyou,fun,0.3
incentivize,different,0.0
driver,high,0.16
map,possibly bad,-0.6999999999999998
idea,dead,-0.2
decision,dull,-0.2916666666666667
campaign,single,-0.07142857142857142
experience,graphic,0.0
character,better,0.5
thing,new,0.13636363636363635
games,good,0.7
mode,busy,0.1
manage,low,0.0
mode,amsterdam,0.0
force,random,-0.5
story,special,0.35714285714285715
plant,tactic,0.0
sky,extra,0.0
promo,competitive,0.0
finish,least,-0.3
baggy,totally unplayable,-0.4
review,negative,-0.3
gear,good,0.7
shutter,mandatory,0.0
game,short,0.0
model,monthly,0.0
course,great,0.8
crash,next,0.0
gameactivision,single,-0.07142857142857142
singleplayer,mental,-0.1
map,stale,-0.5
community,next,0.0
thing,gold,0.0
thing,fine,0.4166666666666667
cord,similar,0.0
schwa,many,0.5
restart,first,0.25
window,odd,-0.16666666666666666
option,infuriate,0.0
integration,difficult,-0.5
title,sad,-0.5
generation,mental,-0.1
need,new,0.13636363636363635
que,negative,-0.3
increase,terrible,-1.0
ball,worth,0.3
fix,positive,0.22727272727272727
use,rational,0.0
match,even peak,0.0
enemy,previous,-0.16666666666666666
op,rewarding,0.5
stuff,good,0.7
operator,main,0.16666666666666666
mode,unplayable,-0.4
fix,several,0.0
content,currently absent,0.0
fix,least,-0.3
sweat,funny,0.25
cup,high,0.16
everytime,keybind,0.0
progression,possible,0.0
bug,once token,0.0
duty,old,0.1
none,original,0.375
consumer,unfinished,0.0
amazing,able,0.5
title,big,0.0
player,great,0.8
gunplay,graphic,0.0
bag,complete,0.1
tank,goldfish,0.0
activision,bad,-0.6999999999999998
issue,full,0.35
war,small,-0.25
shotgun,literally painless,0.0
map,interesting,0.5
cod,great,0.8
update,acknowledge,0.0
reward,complete,0.1
friend,especially groundwar,0.0
fence,major,0.0625
player,new,0.13636363636363635
animation,intriguing,0.30000000000000004
recoil,really harsh,-0.2
casual,especially harsh,-0.4
put,pro,0.0
op,least fun,0.0
gameplay,least good,0.19999999999999998
crime,new,0.13636363636363635
theater,hot,0.25
map,great,0.8
campaign,second,0.0
difficulty,thankful,0.0
watch,last,0.0
watch,cinematic,0.0
match,private,0.0
point,enough,0.0
people,sick,-0.7142857142857143
regret,hot,0.25
time,really annoying,-0.8
spike,annoying,-0.8
want,utter,0.0
neighbour,least,-0.3
gun,amazing,0.6000000000000001
review,single,-0.07142857142857142
headache,first,0.25
make,sluggish,0.0
mention,fine,0.4166666666666667
order,stupid,-0.7999999999999999
top,stupid,-0.7999999999999999
sight,slow,-0.30000000000000004
wall,bad,-0.6999999999999998
multiplayer,less,-0.16666666666666666
work,current,0.0
singer,proper,0.0
title,previous,-0.16666666666666666
franchise,tired,-0.4
duty,frequent,0.1
americans,last,0.0
boy,good,0.7
